HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
11,18,2,1,0,4,20.0,20.0,0.8,0.6,15.4,13.8,7.4,7.0,8.4,6.0,1.0,0.8,8.8,10.4,2012,31
19,27,2,2,0,-12,60.0,60.0,3.0,1.0,21.4,5.6,12.4,2.4,11.4,3.4,1.0,1.0,9.8,13.6,2012,31
29,9,1,1,1,16,40.0,40.0,1.4,1.4,10.4,17.0,5.4,9.4,6.8,6.0,0.8,0.6,11.8,12.2,2012,31
30,34,2,3,1,-11,60.0,40.0,1.2,1.4,17.6,8.4,10.6,4.6,8.2,2.4,0.4,2.4,10.4,15.0,2012,31
35,17,0,0,3,11,20.0,20.0,1.6,0.6,13.0,16.6,7.6,9.8,6.2,9.0,2.0,1.4,14.0,15.0,2012,31
1,23,1,2,2,-9,0.0,0.0,0.4,0.4,12.0,10.4,5.6,5.0,7.8,5.2,1.6,1.2,10.6,13.6,2012,1
2,21,0,0,2,3,40.0,20.0,2.0,1.6,15.4,10.2,9.6,6.4,3.8,3.0,1.8,2.6,11.2,13.0,2012,1
3,0,1,0,0,10,20.0,40.0,1.0,1.8,11.4,13.4,7.8,8.6,4.0,6.2,1.6,1.4,13.0,12.4,2012,1
12,32,1,1,1,-3,80.0,60.0,2.0,1.6,15.8,13.0,9.0,6.4,3.8,4.2,1.6,1.2,15.4,16.4,2012,1
28,22,2,3,0,-8,60.0,40.0,1.4,1.6,13.2,10.0,7.6,5.4,4.0,4.0,0.8,2.0,11.0,18.4,2012,1
0,2,2,7,1,-11,40.0,20.0,1.0,1.4,16.6,9.6,9.8,5.8,9.0,3.8,0.8,1.8,7.6,19.8,2012,4
18,12,2,3,0,-5,100.0,0.0,3.0,0.8,15.8,11.8,11.2,6.4,7.0,4.8,0.6,1.6,9.8,18.6,2012,4
22,3,2,2,0,4,40.0,40.0,1.4,0.8,11.8,11.6,7.0,6.4,4.2,6.4,1.2,2.0,14.6,17.4,2012,4
23,35,0,1,2,1,20.0,0.0,1.4,0.8,13.4,7.4,6.0,4.4,5.0,2.8,1.8,2.0,14.6,19.4,2012,4
27,28,0,0,1,3,40.0,40.0,1.6,1.6,9.4,12.4,4.0,8.4,5.8,4.4,1.2,1.4,13.2,17.8,2012,4
